-60,0x02,0x18,0x08,0x24,0xDC,0x00,0x13,0xBD,0xCA,0xB6,0xC3,0xCC,0xC0,0xDA,0xDE,0xD3,0x00,0x28,0x00,0x1C,0x00,0x39
-80,0x02,0x18,0x08,0x24,0xFE,0x00,0x12,0xBF,0xCB,0xB8,0xC5,0xCE,0xC2,0xDC,0xE0,0xD5,0x00,0x1E,0x00,0x13,0x00,0x2C
,,,,,,,,,,,,,,,,,,,,,,
decimal,,,,,,,,,,,,,,,,,,,,,,
300,2,24,8,36,58,70,24,172,183,161,167,176,155,187,191,177,0,189,0,176,0,251
280,2,24,8,36,59,70,24,174,184,162,167,176,155,187,192,178,0,185,0,172,0,245
260,2,24,8,36,60,71,25,174,183,162,169,178,157,188,193,178,0,178,0,166,0,237
240,2,24,8,36,60,71,25,175,184,163,170,179,158,189,194,180,0,172,0,160,0,228
220,2,24,8,36,62,68,25,176,185,164,170,179,158,191,197,182,0,165,0,153,0,219
200,2,24,8,36,64,68,26,176,186,164,171,180,160,193,198,183,0,158,0,147,0,210
180,2,24,8,36,65,68,26,177,186,165,173,182,162,194,199,184,0,150,0,140,0,200
160,2,24,8,36,64,65,24,177,186,166,174,183,162,195,200,186,0,144,0,134,0,191
140,2,24,8,36,67,62,24,177,186,166,176,185,164,196,202,188,0,136,0,126,0,180
120,2,24,8,36,66,58,23,179,187,167,177,186,166,198,204,189,0,127,0,118,0,169
100,2,24,8,36,68,53,24,180,188,168,178,187,167,200,206,192,0,118,0,109,0,156
80,2,24,8,36,70,46,24,180,187,167,180,189,170,202,208,194,0,108,0,100,0,143
60,2,24,8,36,72,38,23,182,189,169,182,191,173,205,211,197,0,98,0,88,0,133
40,2,24,8,36,80,30,23,183,191,171,184,193,176,207,212,199,0,89,0,79,0,120
20,2,24,8,36,92,21,22,184,193,173,186,195,179,209,213,202,0,79,0,69,0,107
0,2,24,8,36,110,11,22,186,196,176,189,198,183,212,215,205,0,70,0,59,0,95
-20,2,24,8,36,136,1,21,187,198,178,191,200,186,214,218,207,0,60,0,48,0,82
-40,2,24,8,36,172,0,20,188,201,180,193,202,189,216,220,209,0,50,0,38,0,69
-60,2,24,8,36,220,0,19,189,202,182,195,204,192,218,222,211,0,40,0,28,0,57
-80,2,24,8,36,254,0,18,191,203,184,197,206,194,220,224,213,0,30,0,19,0,44
